Name,Material Type,Application,Strength,Water Resistance,Cost,Durability,Eco-Friendly
TATA Tiscon 500D,Iron,Construction Framework,High,Low,Low,High,Yes
JSW Neosteel,Iron,Reinforcement Bars,High,Medium,Low,Medium,Yes
SAIL TMT Bars,Iron,Structural Reinforcement,High,High,Low,High,Yes
Essar Steel Plates,Iron,Heavy Construction,High,Medium,Low,High,Yes
Jindal Panther TMT,Iron,Building Reinforcement,Low,Low,Low,Low,No
Rashtriya Ispat Nigam Beams,Iron,Large Structures,High,High,Medium,High,Yes
TATA Structura Hollow Sections,Iron,Architectural Framework,Low,High,Medium,High,Yes
JSPL TMT Rebars,Iron,Reinforcement Bars,High,Medium,Low,High,Yes
AMNS India Structural Steel,Iron,Industrial Buildings,High,High,Medium,High,Yes
Bhushan Steel Plates,Iron,Heavy Engineering,Medium,High,Low,Medium,Yes
Vizag Steel Angles,Iron,Structural Support,Medium,Low,Low,Low,Yes
Electrosteel Castings Pipes,Iron,Water Transport,High,High,Medium,Medium,Yes
Jindal Steel Beams,Iron,Construction Framework,Low,Medium,Low,High,No
Rungta Steel TMT Bars,Iron,Building Reinforcement,High,High,Low,High,Yes
Lloyds Metals & Energy Plates,Iron,Infrastructure Projects,High,Medium,Low,High,Yes
Bhilai Steel Rails,Iron,Railway Tracks,Low,High,Medium,High,Yes
Mahindra TMT Bars,Iron,Earthquake-resistant Structures,High,Medium,Medium,High,Yes
Kirloskar Steel Sheets,Iron,Rooftop Panels,Medium,High,Low,Medium,Yes
Indostar TMT Steel,Iron,Foundation Support,High,High,Medium,High,Yes
TATA Ferro Alloys,Iron,Specialized Construction,High,Medium,Low,High,Yes
Kalyani Steel TMT Bars,Iron,Structural Reinforcement,High,High,High,High,Yes
Sunflag Iron & Steel Co. Plates,Iron,Heavy Engineering,Low,Medium,Low,High,Yes
Usha Martin Wire Rods,Iron,Industrial Construction,Medium,High,Low,Medium,Yes
VISA Steel Structural Steel,Iron,Buildings & Infrastructure,High,High,High,High,Yes
Electrotherm TMT Rebars,Iron,Building Support,High,Medium,Low,High,Yes
TATA EzyBuild Steel,Iron,Modular Construction,Medium,High,Medium,High,Yes
Shyam Steel TMT Bars,Iron,Concrete Reinforcement,High,High,Medium,High,Yes
Gallantt Iron Sheets,Iron,Roofing Solutions,Medium,Medium,Low,High,Yes
Adhunik Group TMT Steel,Iron,Earthquake-resistant Buildings,High,Medium,Medium,Medium,Yes
Jindal Stainless Structural Steel,Iron,High-rise Construction,High,High,High,Medium,Yes
SPS Steel & Power Sheets,Iron,Industrial Uses,Medium,Low,Low,Low,Yes
Welspun Steel Pipes,Iron,Water Transport,High,High,High,Low,Yes
Visa Steel Angles,Iron,Construction Support,Low,Medium,Low,High,Yes
Essar Steel Beams,Iron,Large Structure Framework,High,High,High,High,Yes
Rathi TMT Bars,Iron,Building Foundations,High,Medium,Low,High,Yes
Monnet Group Structural Iron,Iron,Infrastructure Projects,High,High,High,Low,Yes
Sanjay Casting & Engineering Plates,Iron,Heavy Load Structures,High,Medium,Low,Medium,Yes
Gallantt Metal TMT Rebars,Iron,Reinforced Buildings,High,High,Medium,Low,Yes
SAIL Structural Sections,Iron,Bridge Construction,High,High,High,High,Yes
Jayaswal Neco Steel Plates,Iron,Engineering Projects,Low,Medium,Low,High,Yes
Visa Steel Angles,Iron,Construction Support,High,Medium,Low,Low,Yes
Essar Steel Beams,Iron,Large Structure Framework,High,High,High,High,Yes
Rathi TMT Bars,Iron,Building Foundations,High,Medium,Low,High,Yes
Monnet Group Structural Iron,Iron,Infrastructure Projects,High,High,High,High,Yes
Sanjay Casting & Engineering Plates,Iron,Heavy Load Structures,High,Medium,Low,Medium,Yes
Gallantt Metal TMT Rebars,Iron,Reinforced Buildings,High,High,Medium,Low,Yes
SAIL Structural Sections,Iron,Bridge Construction,Low,High,High,High,Yes
Jayaswal Neco Steel Plates,Iron,Engineering Projects,High,Medium,Low,High,Yes
Electrotherm TMT Bars,Iron,Residential Construction,High,Medium,Low,High,Yes
TATA Steel Corrugated Sheets,Iron,Roofing & Cladding,Medium,High,Low,Low,Yes
Kirloskar Ferrous Industries Structural Iron,Iron,Heavy Industry,High,High,High,High,Yes
VIZAG Steel Hollow Sections,Iron,Architectural Framework,Low,High,Medium,High,Yes
Jindal SAW Pipes,Iron,Industrial Piping,High,High,Medium,High,Yes
SRMB TMT Rebars,Iron,Earthquake-resistant Structures,High,Medium,Medium,Low,Yes
Mahindra Steel Roof Panels,Iron,Rooftop Structures,Medium,High,Low,Medium,Yes
Uttam Galva Steel Structural Components,Iron,Commercial Buildings,High,High,High,High,Yes
Shri Bajrang Power & Ispat TMT Bars,Iron,Residential Reinforcement,High,Medium,Low,High,Yes
Vardhman Special Steels Beams,Iron,Large-scale Construction,Low,High,High,Low,Yes
Gallantt Group Structural Steel,Iron,Industrial Infrastructure,High,Medium,Low,High,Yes
Jindal India Limited Structural Iron,Iron,Architectural Enhancement,Medium,High,Medium,Medium,Yes
Gallantt Metal TMT Bars,Iron,Reinforced Concrete,High,High,Medium,High,Yes
SAIL Welded Mesh,Iron,Concrete Reinforcement,High,Medium,High,Low,Yes
Jayaswal Neco Steel Bars,Iron,Heavy-duty Construction,High,Medium,Low,High,Yes
Electrotherm Heavy Plates,Iron,Industrial Structures,Low,High,High,High,Yes
TATA Precision Tubes,Iron,Steel Framework,Medium,High,Low,Medium,Yes
VIZAG Reinforcement Steel,Iron,Structural Framework,High,High,High,High,Yes
Jindal SAW Structural Pipes,Iron,Industrial Piping,Low,High,Medium,Low,Yes
SRMB TMT High Strength Bars,Iron,Earthquake-resistant Buildings,Low,Medium,Medium,High,Yes
Mahindra Steel Rebars,Iron,Large-scale Construction,Low,High,Low,Medium,Yes
Uttam Galva TMT Bars,Iron,Infrastructure Projects,High,High,High,High,Yes
Shri Bajrang Power Reinforcement,Iron,Residential Structures,High,Medium,Low,Low,Yes
Vardhman Industrial Steel,Iron,Building Framework,High,High,High,High,Yes
Gallantt Group Hollow Sections,Iron,Architectural Infrastructure,High,Medium,Low,High,Yes
Jindal India Limited Iron Beams,Iron,Structural Enhancement,Medium,High,Medium,Medium,Yes
