Name,Material Type,Application,Strength,Water Resistance,Cost,Durability,Eco-Friendly
Crushed Stone Aggregate,Aggregate,Concrete & Road Construction,High,Medium,Medium,High,Yes
Gravel Aggregate,Aggregate,Drainage & Landscaping,Medium,Low,Low,High,Yes
Sand Aggregate,Aggregate,Mortar & Concrete Mix,Medium,High,Medium,Medium,Yes
Recycled Concrete Aggregate,Aggregate,Sustainable Construction,Medium,High,Medium,High,Yes
Expanded Clay Aggregate,Aggregate,Lightweight Concrete,Medium,High,High,Medium,No
Limestone Aggregate,Aggregate,Structural Foundations,High,Medium,High,High,Yes
Granite Aggregate,Aggregate,Heavy-duty Infrastructure,High,High,High,High,Yes
Basalt Aggregate,Aggregate,High-strength Concrete,High,High,High,High,Yes
Slag Aggregate,Aggregate,Industrial Applications,Low,Medium,Medium,High,Yes
Quartz Aggregate,Aggregate,Decorative & Architectural Use,Medium,High,Medium,Medium,Yes
Dolomite Aggregate,Aggregate,Coastal & Marine Construction,High,High,High,High,No
Perlite Aggregate,Aggregate,Insulation & Lightweight Concrete,Medium,High,Medium,Medium,Yes
Pumice Aggregate,Aggregate,Eco-friendly Lightweight Concrete,Medium,High,Medium,High,Yes
Silica Sand Aggregate,Aggregate,Glass & Industrial Use,Medium,High,Medium,Medium,Yes
Crushed Brick Aggregate,Aggregate,Recycled Construction Material,Medium,Medium,Low,High,Yes
Marble Chips Aggregate,Aggregate,Decorative Landscaping,Low,Low,Medium,Medium,Yes
Pea Gravel Aggregate,Aggregate,Pathways & Drainage,Medium,Low,Low,High,Yes
Shell Aggregate,Aggregate,Coastal & Marine Applications,Medium,High,Medium,Medium,Yes
Crushed Glass Aggregate,Aggregate,Recycled Decorative Concrete,Medium,Medium,Medium,High,Yes
Steel Slag Aggregate,Aggregate,Heavy-duty Road Construction,High,High,High,Low,Yes
Volcanic Rock Aggregate,Aggregate,High-performance Concrete,Low,High,High,Low,Yes
Recycled Plastic Aggregate,Aggregate,Sustainable Infrastructure,Medium,High,Medium,High,Yes
Tuff Rock Aggregate,Aggregate,Heat-resistant Construction,High,Medium,High,High,Yes
River Gravel Aggregate,Aggregate,Landscaping & Drainage,Medium,Low,Low,High,Yes
Porcelain Aggregate,Aggregate,Decorative & Industrial Flooring,Low,High,Medium,Medium,Yes
Zeolite Aggregate,Aggregate,Water Filtration Systems,Medium,High,Medium,High,Yes
Crushed Limestone Aggregate,Aggregate,Heavy-duty Foundations,High,High,High,High,No
Expanded Shale Aggregate,Aggregate,Lightweight Concrete Mixes,Medium,High,Medium,Medium,Yes
Glass Bead Aggregate,Aggregate,Reflective Road Marking,Low,Medium,Medium,High,Yes
Ceramic Tile Chips Aggregate,Aggregate,Recycled Decorative Surfaces,Medium,Medium,Low,High,Yes
Shell Fragment Aggregate,Aggregate,Coastal Construction,Medium,High,Medium,Medium,Yes
Coconut Husk Aggregate,Aggregate,Eco-friendly Concrete Mix,Medium,High,Low,Low,Yes
Magnetite Aggregate,Aggregate,High-density Concrete,High,High,High,High,Yes
Crushed Slate Aggregate,Aggregate,Durable Roofing Applications,Medium,High,Medium,Medium,Yes
Diabase Aggregate,Aggregate,High-strength Concrete Solutions,High,Low,High,High,Yes
Recycled Paper Aggregate,Aggregate,Lightweight Insulation,Medium,High,Low,Medium,Yes
Steel Fiber Aggregate,Aggregate,Reinforced Concrete,Low,High,High,High,Yes
Synthetic Polymer Aggregate,Aggregate,Innovative Sustainable Buildings,Medium,High,Medium,Low,Yes
Crushed Rubber Aggregate,Aggregate,Shock-Absorbing Pavements,Medium,Medium,Medium,High,Yes
Hematite Aggregate,Aggregate,Dense Load-bearing Structures,High,High,High,High,Yes
Ferrocement Aggregate,Aggregate,High-performance Marine Structures,High,High,High,High,Yes
Volcanic Ash Aggregate,Aggregate,Natural Pozzolanic Concrete,Medium,High,Medium,High,Yes
Crushed Obsidian Aggregate,Aggregate,Durable Architectural Applications,Low,High,High,High,Yes
Recycled Wood Fiber Aggregate,Aggregate,Innovative Sustainable Construction,Medium,Low,Medium,Low,Yes
Natural Sandstone Aggregate,Aggregate,Decorative & Building Facades,Medium,Medium,Medium,Medium,No
Ceramic Reinforced Aggregate,Aggregate,Thermal Insulation & Flooring,Medium,High,Medium,High,Yes
Expanded Glass Aggregate,Aggregate,Lightweight Concrete Mix,Medium,High,Medium,Medium,Yes
Crushed Basalt Rock Aggregate,Aggregate,High-load Bearing Concrete,Low,High,High,High,Yes
Synthetic Geopolymer Aggregate,Aggregate,Sustainable Future Building Materials,Medium,High,Medium,Medium,Yes
Crushed Coral Aggregate,Aggregate,Coastal Marine Construction,Medium,High,Medium,Medium,Yes
Ultra-Durable Heavy-Load Aggregate,Aggregate,Large Infrastructure Projects,High,High,High,High,Yes
Recycled Construction Debris Aggregate,Aggregate,Eco-Friendly Reinforced Concrete,Medium,Medium,Medium,Low,Yes
Porous Ceramic Beads Aggregate,Aggregate,Insulated Residential Walls,Medium,High,Medium,High,Yes
