Name,Material Type,Application,Strength,Water Resistance,Cost,Durability,Eco-Friendly
TATA Steel Structura,Steel,Building Framework,High,Medium,Low,High,Yes
JSW Steel 600D,Steel,Reinforcement Bars,High,High,Low,High,Yes
SAIL Structural Beams,Steel,Heavy Construction,Low,Low,Low,Low,Yes
Essar Steel Plates,Steel,Industrial Infrastructure,Low,Low,Low,Low,No
Jindal Panther Steel Bars,Steel,Reinforced Buildings,High,Medium,Low,High,No
Rashtriya Ispat Nigam Steel Sheets,Steel,Large Structures,Medium,Medium,Medium,Medium,Yes
TATA Ferro Steel Hollow Sections,Steel,Architectural Framework,Medium,High,Medium,High,Yes
JSPL Structural Steel,Steel,Buildings & Bridges,High,Medium,Low,High,Yes
AMNS India Structural Steel,Steel,Industrial Applications,High,High,Medium,High,Yes
Bhushan Steel Heavy Plates,Steel,Engineering Projects,Medium,High,Low,Medium,Yes
Vizag Steel Angles,Steel,Structural Support,Medium,Low,Low,High,Yes
Electrosteel Castings Pipes,Steel,Water Transport,Medium,Medium,Medium,Medium,Yes
Jindal Steel Framework Beams,Steel,Construction Framework,Low,Medium,Low,High,No
Rungta Steel TMT Bars,Steel,Concrete Reinforcement,High,High,Medium,High,No
Lloyds Metals & Energy Steel,Steel,Infrastructure Projects,High,Medium,Low,High,Yes
Bhilai Steel Rails,Steel,Railway Tracks,High,High,Medium,High,Yes
Mahindra Steel Reinforcement Bars,Steel,Earthquake-resistant Structures,High,Medium,Medium,Medium,Yes
Kirloskar Steel Sheets,Steel,Rooftop Panels,Medium,High,Low,Medium,Yes
Indostar TMT Steel,Steel,Foundation Support,High,High,Medium,High,Yes
TATA Ferro Structural Steel,Steel,Specialized Construction,High,Medium,Low,Medium,No
Kalyani Steel TMT Bars,Steel,Structural Reinforcement,High,High,Medium,High,Yes
Sunflag Steel Heavy Plates,Steel,Engineering Projects,High,Medium,Low,High,Yes
Usha Martin Wire Rods,Steel,Industrial Construction,Low,High,Low,Medium,Yes
VISA Steel Structural Steel,Steel,Buildings & Infrastructure,High,High,High,High,Yes
Electrotherm TMT Rebars,Steel,Building Support,High,Medium,Low,High,Yes
TATA EzyBuild Steel,Steel,Modular Construction,Medium,Medium,Medium,High,No
Shyam Steel TMT Bars,Steel,Concrete Reinforcement,Low,High,Medium,Medium,Yes
Gallantt Steel Sheets,Steel,Roofing Solutions,Medium,Medium,Low,High,Yes
Adhunik Group TMT Steel,Steel,Earthquake-resistant Buildings,High,Medium,Medium,High,Yes
Jindal Stainless Structural Steel,Steel,High-rise Construction,High,High,High,High,Yes
SPS Steel & Power Sheets,Steel,Industrial Uses,Medium,Low,Low,Low,Yes
Welspun Steel Pipes,Steel,Water Transport,High,High,High,Medium,Yes
Visa Steel Angles,Steel,Construction Support,High,Medium,Low,High,No
Essar Steel Beams,Steel,Large Structure Framework,High,High,High,Low,Yes
Rathi TMT Bars,Steel,Building Foundations,Low,Medium,Medium,High,Yes
Monnet Group Structural Steel,Steel,Infrastructure Projects,High,High,High,High,Yes
Sanjay Casting & Engineering Plates,Steel,Heavy Load Structures,High,Low,Low,Medium,Yes
Gallantt Metal TMT Rebars,Steel,Reinforced Buildings,High,High,Medium,Low,Yes
SAIL Structural Sections,Steel,Bridge Construction,High,High,High,High,Yes
Jayaswal Neco Steel Plates,Steel,Engineering Projects,Low,Low,Low,High,Yes
Kalyani Steel Bars,Steel,Structural Reinforcement,Low,High,Medium,High,No
Sunflag Steel Plates,Steel,Engineering Projects,Low,Medium,Low,High,Yes
Usha Wire Rods,Steel,Industrial Construction,Medium,Low,Low,Medium,Yes
VISA Structural Steel,Steel,Buildings & Infrastructure,High,High,High,Low,Yes
Electrotherm TMT,Steel,Building Support,High,Medium,Low,High,Yes
TATA EzyBuild Steels,Steel,Modular Construction,Medium,High,Medium,High,Yes
Shyam TMT Bars,Steel,Concrete Reinforcement,High,Low,Medium,High,No
Gallantt Steel,Steel,Roofing Solutions,Medium,Medium,Low,Low,Yes
Adhunik Group Steel,Steel,Earthquake-resistant Buildings,Low,Medium,Medium,High,Yes
Jindal Stainless Steel,Steel,High-rise Construction,High,Low,High,Low,Yes
SPS Steel & Power Sheet,Steel,Industrial Uses,Medium,Low,Low,Low,Yes
Welspun Steel Pipe,Steel,Water Transport,High,High,High,High,Yes
Visa Steel ,Steel,Construction Support,High,Medium,Low,Low,No
Essar Steel Sheets,Steel,Large Structure Framework,Low,High,High,Low,Yes
Rathi TMT Steel,Steel,Building Foundations,High,Medium,Medium,Low,Yes
Monnet Group Steel,Steel,Infrastructure Projects,High,High,High,Low,Yes
Sanjay Casting & Engineering Rods,Steel,Heavy Load Structures,High,Medium,Low,Medium,Yes
Gallantt Metal TMT Steel,Steel,Reinforced Buildings,High,High,Medium,Medium,No
SAIL Structural Steel,Steel,Bridge Construction,High,High,High,High,Yes
Jayaswal Neco Steel ,Steel,Engineering Projects,High,Low,Low,High,Yes
TATA Ferro Precision Steel,Steel,Specialized Construction,High,Medium,Low,High,Yes
SAIL Heavy Structural Components,Steel,Industrial Engineering,High,High,High,Medium,Yes
Usha Martin High-Density Steel,Steel,Large Structure Framework,High,High,High,High,Yes
AMNS India Industrial Bars,Steel,Buildings & Bridges,Low,Medium,Medium,High,Yes
Electrosteel Heavy-Duty Sheets,Steel,Infrastructure Development,High,Low,High,Low,No
Jindal SAW Reinforced Mesh,Steel,Concrete Reinforcement,High,Medium,High,Medium,Yes
VIZAG Large Welded Framework,Steel,Structural Support,High,Medium,Medium,Medium,Yes
Welspun Heavy Load Angles,Steel,Bridge & Highway Construction,High,Low,High,High,Yes
Mahindra High-Density Panels,Steel,Rooftop Engineering,Medium,High,Low,Medium,Yes
Monnet Ferro Alloy Steel,Steel,Industrial Buildings,High,High,Medium,High,Yes
Kirloskar High Strength Sections,Steel,Heavy-duty Engineering,High,Medium,Low,High,Yes
Gallantt Ferro Construction Steel,Steel,Large Infrastructure,High,Low,Medium,High,No
Shyam Steel Reinforcement Bars,Steel,Earthquake-resistant Structures,High,Medium,Medium,Medium,Yes
Visa Steel Heavy-Duty Plates,Steel,Engineering Framework,High,Medium,Medium,Low,Yes
Jayaswal Neco High-Density Steel,Steel,Industrial Load Structures,High,High,High,High,Yes
Bhilai Advanced Construction Steel,Steel,Buildings & Bridges,Medium,Medium,Medium,Medium,Yes
Essar Premium Structural Steel,Steel,Architectural Engineering,Low,Low,Low,High,Yes
Lloyds Reinforced TMT Steel,Steel,Infrastructure Support,High,High,High,High,No
Rathi Heavy Load Steel,Steel,Concrete Reinforcement,High,High,Medium,High,Yes
TATA Structura Precision Sections,Steel,Architectural Framework,High,Medium,Medium,Medium,Yes
Jindal Heavy Structural Steel,Steel,Industrial Framework,High,Low,High,Low,Yes
Electrosteel Large Framework Beams,Steel,Heavy-duty Construction,Low,High,High,Low,Yes
TATA Reinforcement Mesh,Steel,Concrete Reinforcement,High,Medium,Medium,Low,Yes
SAIL High Strength Angles,Steel,Bridge Construction,High,High,High,High,No
VIZAG Welded Mesh Sheets,Steel,Infrastructure Framework,High,Medium,Medium,High,Yes
Essar Heavy Duty Rebars,Steel,Large Buildings,High,High,High,High,Yes
Kirloskar Steel Pipes,Steel,Water Transport,High,High,High,High,Yes
Gallantt Metal Structural Steel,Steel,Buildings & Bridges,High,Medium,Medium,Medium,Yes
Shyam Steel Hollow Sections,Steel,Architectural Framework,High,Medium,Medium,High,No
Bhilai Large Load Beams,Steel,Heavy Industrial Applications,Low,High,High,High,Yes
Visa Steel High Strength Plates,Steel,Infrastructure Projects,High,Medium,Low,High,Yes
Mahindra Welded Structural Steel,Steel,Structural Support,High,Medium,Medium,High,Yes
Jayaswal Neco Heavy-duty Rebars,Steel,Industrial Engineering,High,High,High,High,Yes
Welspun Reinforcement Mesh,Steel,Buildings & Foundations,High,High,Medium,High,No
Monnet Group Large Beams,Steel,Bridge & Rail Construction,High,High,High,High,Yes
Electrotherm TMT Sections,Steel,Earthquake-resistant Buildings,Low,Medium,Medium,High,Yes
TATA Ferro Strength Steel,Steel,Specialized Construction,High,Medium,Low,High,Yes
SAIL High-Density Steel Bars,Steel,Infrastructure Support,High,High,High,Low,Yes
Usha Martin Industrial Mesh,Steel,Large Structure Framework,Low,High,High,High,Yes
AMNS India Heavy Plates,Steel,Buildings & Bridges,High,Medium,Medium,High,Yes
,,,,,,,
,,,,,,l,
